Tokens,Labels
"['Everest', 'stands', 'as', 'a', 'beacon', 'for', 'climbers', 'around', 'the', 'world', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'path', 'to', 'the', 'summit', 'of', 'K2', 'is', 'fraught', 'with', 'danger', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Many', 'adventurers', 'have', 'dreamed', 'of', 'conquering', 'Kangchenjunga', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['At', '8', ',', '516', 'meters', ',', 'Lhotse', 'towers', 'over', 'most', 'other', 'peaks', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'first', 'ascent', 'of', 'Makalu', 'was', 'achieved', 'in', '1955', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Cho', 'Oyu', ',', 'the', 'sixth', '-', 'highest', 'mountain', 'in', 'the', 'world', ',', 'is', 'often', 'considered', 'a', 'good', 'training', 'peak', 'for', 'Everest', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Scientific', 'research', 'on', 'Dhaulagiri', 'has', 'provided', 'valuable', 'insights', 'into', 'glacial', 'melt', 'patterns', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Manaslu', 'was', 'first', 'climbed', 'in', '1956', 'by', 'a', 'Japanese', 'team', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'early', 'morning', 'light', ',', 'Nanga', 'Parbat', 'glows', 'with', 'an', 'ethereal', 'beauty', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'climbers', 'made', 'their', 'final', 'push', 'for', 'the', 'summit', 'of', 'Annapurna', 'despite', 'harsh', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
"['Gasherbrum', 'I', 'is', 'sometimes', 'overshadowed', 'by', 'the', 'neighboring', 'K2', ',', 'but', 'it', 'is', 'a', 'formidable', 'peak', 'in', 'its', 'own', 'right', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'jagged', 'ridge', 'of', 'Broad', 'Peak', 'rises', 'sharply', 'against', 'the', 'sky', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Explorers', 'of', 'Gasherbrum', 'II', 'often', 'face', 'unpredictable', 'weather', 'patterns', '.']","['O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['As', 'the', 'only', 'eight', '-', 'thousand', '-', 'meter', 'peak', 'entirely', 'within', 'Tibet', ',', 'Shishapangma', 'presents', 'unique', 'challenges', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
"['Standing', 'in', 'the', 'heart', 'of', 'the', 'Caucasus', ',', 'Elbrus', 'is', 'a', 'symbol', 'of', 'Russian', 'mountaineering', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Denali', ',', 'also', 'known', 'as', 'Mount', 'McKinley', ',', 'is', 'the', 'tallest', 'mountain', 'in', 'North', 'America', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'snows', 'of', 'Kilimanjaro', 'are', 'slowly', 'melting', 'due', 'to', 'climate', 'change', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Aconcagua', 'dominates', 'the', 'Andean', 'landscape', 'with', 'its', 'imposing', 'height', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Few', 'expeditions', 'venture', 'to', 'the', 'icy', 'slopes', 'of', 'Vinson', 'in', 'Antarctica', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"['Wilhelm', 'is', 'the', 'highest', 'point', 'in', 'Papua', 'New', 'Guinea', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Kosciuszko', 'is', 'relatively', 'easy', 'to', 'climb', ',', 'but', 'it', 'remains', 'a', 'significant', 'achievement', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Rainier', 'is', 'known', 'for', 'its', 'dangerous', 'crevasses', 'and', 'rapidly', 'changing', 'weather', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Saint', 'Elias', 'is', 'one', 'of', 'the', 'most', 'remote', 'peaks', 'in', 'North', 'America', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount', 'Fuji', 'is', 'a', 'sacred', 'symbol', 'in', 'Japanese', 'culture', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'jagged', 'peaks', 'of', 'Blanc', 'rise', 'sharply', 'above', 'the', 'French', 'Alps', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Fitz', 'Roy', 'is', 'revered', 'by', 'climbers', 'for', 'its', 'sheer', 'rock', 'faces', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'Yukon', ',', 'Logan', 'stands', 'as', 'a', 'towering', 'giant', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['California', ""'"", 's', 'Whitney', 'is', 'the', 'highest', 'summit', 'in', 'the', 'contiguous', 'United', 'States', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'mysterious', 'plateau', 'of', 'Roraima', 'inspired', 'the', 'novel', '""', 'The', 'Lost', 'World', '.', '""']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Matterhorn', 'is', 'one', 'of', 'the', 'most', 'iconic', 'mountains', 'in', 'Europe', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Pikes', 'Peak', 'offers', 'a', 'panoramic', 'view', 'of', 'Colorado', 'Springs', '.']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Kinabalu', 'is', 'the', 'highest', 'point', 'in', 'Southeast', 'Asia', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Many', 'myths', 'surround', 'the', 'biblical', 'Ararat', ',', 'where', 'Noah', ""'"", 's', 'Ark', 'is', 'said', 'to', 'have', 'rested', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'volcanic', 'activity', 'of', 'Etna', 'is', 'closely', 'monitored', 'by', 'scientists', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Toubkal', ',', 'the', 'highest', 'peak', 'in', 'North', 'Africa', ',', 'is', 'a', 'popular', 'trekking', 'destination', '.']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'ancient', 'Greek', 'mythology', ',', 'Olympus', 'was', 'home', 'to', 'the', 'gods', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
